Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for linux-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 00:56:38 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32707224k(7763808k free), swap 16777212k(16772860k free)
CommandLine flags: -XX:InitialHeapSize=1610612736 -XX:MaxHeapSize=1610612736 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC
2019-08-21T07:48:15.609+0200: 1.133: [GC (Metadata GC Threshold) [PSYoungGen: 283264K->20213K(458752K)] 283264K->20229K(1507328K), 0.0220106 secs] [Times: user=0.07 sys=0.01, real=0.02 secs]
2019-08-21T07:48:15.631+0200: 1.155: [Full GC (Metadata GC Threshold) [PSYoungGen: 20213K->0K(458752K)] [ParOldGen: 16K->19450K(1048576K)] 20229K->19450K(1507328K), [Metaspace: 20743K->20743K(1067008K)], 0.0461462 secs] [Times: user=0.16 sys=0.01, real=0.05 secs]
2019-08-21T07:48:16.604+0200: 2.127: [GC (Metadata GC Threshold) [PSYoungGen: 163389K->16486K(458752K)] 182840K->35944K(1507328K), 0.0129310 secs] [Times: user=0.03 sys=0.01, real=0.01 secs]
2019-08-21T07:48:16.617+0200: 2.140: [Full GC (Metadata GC Threshold) [PSYoungGen: 16486K->0K(458752K)] [ParOldGen: 19458K->23066K(1048576K)] 35944K->23066K(1507328K), [Metaspace: 34726K->34723K(1079296K)], 0.0324194 secs] [Times: user=0.09 sys=0.00, real=0.03 secs]
2019-08-21T07:48:17.401+0200: 2.924: [GC (Allocation Failure) [PSYoungGen: 393216K->6384K(458752K)] 416282K->29459K(1507328K), 0.0051622 secs] [Times: user=0.02 sys=0.00, real=0.01 secs]
2019-08-21T07:48:17.832+0200: 3.355: [GC (Allocation Failure) [PSYoungGen: 399600K->4676K(458752K)] 422675K->27751K(1507328K), 0.0053542 secs] [Times: user=0.02 sys=0.00, real=0.01 secs]
2019-08-21T07:48:18.259+0200: 3.782: [GC (Allocation Failure) [PSYoungGen: 397892K->6632K(458752K)] 420967K->29706K(1507328K), 0.0062974 secs] [Times: user=0.02 sys=0.00, real=0.01 secs]
2019-08-21T07:48:18.644+0200: 4.167: [GC (Allocation Failure) [PSYoungGen: 399848K->8944K(501760K)] 422922K->32026K(1550336K), 0.0087488 secs] [Times: user=0.02 sys=0.00, real=0.00 secs]
2019-08-21T07:48:19.026+0200: 4.549: [GC (Allocation Failure) [PSYoungGen: 486640K->11024K(500224K)] 509722K->34114K(1548800K), 0.0050016 secs] [Times: user=0.01 sys=0.00, real=0.00 secs]
2019-08-21T07:48:19.378+0200: 4.902: [GC (GCLocker Initiated GC) [PSYoungGen: 488720K->12496K(503808K)] 511810K->35594K(1552384K), 0.0070491 secs] [Times: user=0.02 sys=0.00, real=0.01 secs]
2019-08-21T07:48:19.757+0200: 5.280: [GC (Allocation Failure) [PSYoungGen: 495312K->14048K(503296K)] 518415K->37151K(1551872K), 0.0074778 secs] [Times: user=0.02 sys=0.01, real=0.01 secs]
2019-08-21T07:48:20.115+0200: 5.639: [GC (Allocation Failure) [PSYoungGen: 496864K->15936K(502272K)] 519967K->39047K(1550848K), 0.0059050 secs] [Times: user=0.02 sys=0.00, real=0.00 secs]
2019-08-21T07:48:20.492+0200: 6.015: [GC (Allocation Failure) [PSYoungGen: 497216K->17904K(499200K)] 520327K->41015K(1547776K), 0.0061056 secs] [Times: user=0.02 sys=0.00, real=0.01 secs]
2019-08-21T07:48:20.796+0200: 6.319: [GC (Allocation Failure) [PSYoungGen: 499184K->19200K(498176K)] 522295K->42311K(1546752K), 0.0062008 secs] [Times: user=0.02 sys=0.00, real=0.00 secs]
2019-08-21T07:48:21.139+0200: 6.662: [GC (Allocation Failure) [PSYoungGen: 494336K->21042K(496640K)] 517447K->44153K(1545216K), 0.0066547 secs] [Times: user=0.03 sys=0.00, real=0.01 secs]
2019-08-21T07:48:22.246+0200: 7.769: [GC (Allocation Failure) [PSYoungGen: 496178K->4654K(497152K)] 519289K->27766K(1545728K), 0.0061829 secs] [Times: user=0.02 sys=0.00, real=0.00 secs]
2019-08-21T07:48:22.914+0200: 8.438: [GC (Allocation Failure) [PSYoungGen: 475694K->7474K(497664K)] 498806K->30585K(1546240K), 0.0067530 secs] [Times: user=0.02 sys=0.00, real=0.00 secs]
2019-08-21T07:48:23.650+0200: 9.173: [GC (Allocation Failure) [PSYoungGen: 478514K->4076K(498176K)] 501625K->27187K(1546752K), 0.0053261 secs] [Times: user=0.02 sys=0.00, real=0.01 secs]
2019-08-21T07:48:25.161+0200: 10.685: [GC (Allocation Failure) [PSYoungGen: 476140K->26080K(498176K)] 499251K->77132K(1546752K), 0.0489185 secs] [Times: user=0.14 sys=0.01, real=0.05 secs]
2019-08-21T07:48:26.434+0200: 11.957: [GC (Allocation Failure) [PSYoungGen: 498144K->26085K(458240K)] 549196K->87882K(1506816K), 0.0408044 secs] [Times: user=0.09 sys=0.00, real=0.04 secs]
2019-08-21T07:48:27.344+0200: 12.868: [GC (Allocation Failure) [PSYoungGen: 458213K->37560K(470016K)] 520010K->99382K(1518592K), 0.0226988 secs] [Times: user=0.07 sys=0.00, real=0.02 secs]
